Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time,seed
N1280K80M4N1,1280,5419,120,true,17518,0,3354,343.058,5856,600.099,1887782
N1280K80M4N2,1280,5405,120,true,17524,0,3417,349.172,5863,600.074,1887782
N1280K80M4N3,1280,5433,120,true,18210,0,1062,112.915,5632,600.097,1887782
N1280K80M4N4,1280,5438,120,true,17963,0,5007,512.15,5872,600.063,1887782
N1280K80M4N5,1280,5467,120,true,18416,0,1290,131.68,5851,600.103,1887782
N160K20M4N1,160,649,20,true,2152,0,97,1.38302,45289,600.006,1887782
N160K20M4N2,160,651,20,true,2041,0,13060,176.714,44344,600.001,1887782
N160K20M4N3,160,653,20,true,1868,0,4331,59.5974,43164,600.01,1887782
N160K20M4N4,160,644,20,true,2010,0,1477,19.6542,45532,600.002,1887782
N160K20M4N5,160,660,20,true,2086,0,174,2.34363,45067,600.004,1887782
N2560K160M4N1,2560,10879,240,true,35737,0,2667,584.74,2737,600.155,1887782
N2560K160M4N2,2560,10894,240,true,35955,0,2725,596.014,2744,600.179,1887782
N2560K160M4N3,2560,10877,240,true,35170,0,2758,598.801,2764,600.106,1887782
N2560K160M4N4,2560,10873,240,true,36470,0,2730,586.671,2793,600.212,1887782
N2560K160M4N5,2560,10917,240,true,37792,0,2745,589.578,2794,600.127,1887782
N320K40M4N1,320,1309,40,true,4185,0,21033,519.338,24293,600.018,1887782
N320K40M4N2,320,1307,40,true,4016,0,11302,286.564,23742,600.002,1887782
N320K40M4N3,320,1311,40,true,4477,0,8855,225.857,23569,600.001,1887782
N320K40M4N4,320,1306,40,true,3937,0,1022,25.8691,23514,600.022,1887782
N320K40M4N5,320,1311,40,true,4352,0,7154,189.346,22712,600.008,1887782
N5120K320M4N1,5120,21775,480,true,71308,0,1280,597.571,1286,600.383,1887782
N5120K320M4N2,5120,21803,480,true,72167,0,1286,598.155,1290,600.029,1887782
N640K80M4N1,640,2615,80,true,8461,0,1398,73.1231,11461,600.034,1887782
N640K80M4N2,640,2636,80,true,8302,0,10769,551.186,11724,600.041,1887782
N640K80M4N3,640,2623,80,true,8493,0,9457,473.943,11970,600.02,1887782
N640K80M4N4,640,2624,80,true,8362,0,2381,121.805,11681,600.01,1887782
N640K80M4N5,640,2612,80,true,8446,0,10452,531.652,11794,600.011,1887782
